[2022-09-21 11:18:31.031] [INFO ] org.springframework.boot.logging.DeferredLog [DeferredLog.java:255]  - trace_id=, span_id=, service_identifier=demo-user, For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
[2022-09-21 11:18:31.031] [WARN ] com.okta.spring.boot.oauth.env.OktaEnvironmentPostProcessorApplicationListener [OktaEnvironmentPostProcessorApplicationListener.java:38]  - trace_id=, span_id=, service_identifier=demo-user, Your Okta Issuer URL is missing. You can copy your domain from the Okta Developer Console. Follow these instructions to find it: https://bit.ly/finding-okta-domain
To fix this add the `okta.oauth2.issuer` property to your application environments.
[2022-09-21 11:18:32.032] [INFO ] org.springframework.data.repository.config.RepositoryConfigurationDelegate [RepositoryConfigurationDelegate.java:132]  - trace_id=, span_id=, service_identifier=demo-user, Bootstrapping Spring Data JPA repositories in DEFAULT mode.
[2022-09-21 11:18:32.032] [INFO ] org.springframework.data.repository.config.RepositoryConfigurationDelegate [RepositoryConfigurationDelegate.java:201]  - trace_id=, span_id=, service_identifier=demo-user, Finished Spring Data repository scanning in 7 ms. Found 0 JPA repository interfaces.
[2022-09-21 11:18:32.032] [INFO ] org.springframework.cloud.context.scope.GenericScope [GenericScope.java:283]  - trace_id=, span_id=, service_identifier=demo-user, BeanFactory id=bc2beb27-77e2-3ab0-98dc-096e777573e7
[2022-09-21 11:18:33.033] [INFO ] org.springframework.boot.web.embedded.tomcat.TomcatWebServer [TomcatWebServer.java:108]  - trace_id=, span_id=, service_identifier=demo-user, Tomcat initialized with port(s): 8085 (http)
[2022-09-21 11:18:33.033] [INFO ] org.apache.juli.logging.DirectJDKLog [DirectJDKLog.java:173]  - trace_id=, span_id=, service_identifier=demo-user, Initializing ProtocolHandler ["http-nio-8085"]
[2022-09-21 11:18:33.033] [INFO ] org.apache.juli.logging.DirectJDKLog [DirectJDKLog.java:173]  - trace_id=, span_id=, service_identifier=demo-user, Starting service [Tomcat]
[2022-09-21 11:18:33.033] [INFO ] org.apache.juli.logging.DirectJDKLog [DirectJDKLog.java:173]  - trace_id=, span_id=, service_identifier=demo-user, Starting Servlet engine: [Apache Tomcat/9.0.55]
[2022-09-21 11:18:33.033] [INFO ] org.apache.juli.logging.DirectJDKLog [DirectJDKLog.java:173]  - trace_id=, span_id=, service_identifier=demo-user, Initializing Spring embedded WebApplicationContext
[2022-09-21 11:18:33.033] [INFO ] org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext [ServletWebServerApplicationContext.java:290]  - trace_id=, span_id=, service_identifier=demo-user, Root WebApplicationContext: initialization completed in 2244 ms
[2022-09-21 11:18:33.033] [WARN ] org.springframework.boot.autoconfigure.orm.jpa.JpaBaseConfiguration$JpaWebConfiguration [JpaBaseConfiguration.java:219]  - trace_id=, span_id=, service_identifier=demo-user, spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
[2022-09-21 11:18:34.034] [INFO ] com.zaxxer.hikari.HikariDataSource [HikariDataSource.java:110]  - trace_id=, span_id=, service_identifier=demo-user, HikariPool-1 - Starting...
[2022-09-21 11:18:34.034] [INFO ] com.zaxxer.hikari.HikariDataSource [HikariDataSource.java:123]  - trace_id=, span_id=, service_identifier=demo-user, HikariPool-1 - Start completed.
[2022-09-21 11:18:34.034] [INFO ] org.hibernate.jpa.internal.util.LogHelper [LogHelper.java:31]  - trace_id=, span_id=, service_identifier=demo-user, HHH000204: Processing PersistenceUnitInfo [name: default]
[2022-09-21 11:18:34.034] [INFO ] org.hibernate.Version [Version.java:44]  - trace_id=, span_id=, service_identifier=demo-user, HHH000412: Hibernate ORM core version 5.6.1.Final
[2022-09-21 11:18:34.034] [INFO ] org.hibernate.annotations.common.reflection.java.JavaReflectionManager [JavaReflectionManager.java:56]  - trace_id=, span_id=, service_identifier=demo-user, HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
[2022-09-21 11:18:34.034] [INFO ] org.hibernate.dialect.Dialect [Dialect.java:175]  - trace_id=, span_id=, service_identifier=demo-user, HHH000400: Using dialect: org.hibernate.dialect.PostgreSQL10Dialect
[2022-09-21 11:18:34.034] [INFO ] org.hibernate.engine.transaction.jta.platform.internal.JtaPlatformInitiator [JtaPlatformInitiator.java:52]  - trace_id=, span_id=, service_identifier=demo-user, HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
[2022-09-21 11:18:34.034] [INFO ] org.springframework.orm.jpa.AbstractEntityManagerFactoryBean [AbstractEntityManagerFactoryBean.java:437]  - trace_id=, span_id=, service_identifier=demo-user, Initialized JPA EntityManagerFactory for persistence unit 'default'
[2022-09-21 11:18:35.035] [INFO ] org.springframework.security.web.DefaultSecurityFilterChain [DefaultSecurityFilterChain.java:51]  - trace_id=, span_id=, service_identifier=demo-user, Will secure Or [Ant [pattern='/oauth/token'], Ant [pattern='/oauth/token_key'], Ant [pattern='/oauth/check_token']] with [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@62cbc463, org.springframework.security.web.context.SecurityContextPersistenceFilter@14c415f1, org.springframework.security.web.header.HeaderWriterFilter@118e6d7d, org.springframework.security.web.authentication.logout.LogoutFilter@b5c8069, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@14732a89, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@124fe06, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@3e4a9f6, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@3ed8be4b, org.springframework.security.web.session.SessionManagementFilter@4c867435, org.springframework.security.web.access.ExceptionTranslationFilter@86188f, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@76994384]
